sample,time,code,chan
1372,0.669921875,20.0,-1.0
1577,0.77001953125,22.0,-1.0
2001,0.97705078125,4.0,0.0
2074,1.0126953125,4.0,1.0
2100,1.025390625,5.0,1.0
2162,1.0556640625,4.0,1.0
2189,1.06884765625,5.0,0.0
2411,1.17724609375,200.0,-1.0
2576,1.2578125,5.0,1.0
2708,1.322265625,4.0,1.0
2764,1.349609375,5.0,1.0
2806,1.3701171875,4.0,1.0
2940,1.435546875,5.0,1.0
3071,1.49951171875,4.0,1.0
3183,1.55419921875,5.0,1.0
4860,2.373046875,1.0,-1.0
6372,3.111328125,57.0,-1.0
8034,3.9228515625,10.0,-1.0
8237,4.02197265625,12.0,-1.0
8469,4.13525390625,4.0,0.0
8598,4.1982421875,5.0,0.0
8746,4.2705078125,4.0,1.0
8891,4.34130859375,4.0,0.0
8995,4.39208984375,200.0,-1.0
9005,4.39697265625,5.0,0.0
9183,4.48388671875,5.0,1.0
9401,4.59033203125,4.0,1.0
9801,4.78564453125,5.0,1.0
9862,4.8154296875,4.0,1.0
10113,4.93798828125,5.0,1.0
10165,4.96337890625,4.0,1.0
10284,5.021484375,5.0,1.0
10922,5.3330078125,1.0,-1.0
12438,6.0732421875,57.0,-1.0
14098,6.8837890625,20.0,-1.0
14303,6.98388671875,22.0,-1.0
14708,7.181640625,4.0,0.0
14792,7.22265625,5.0,0.0
14848,7.25,4.0,1.0
15069,7.35791015625,200.0,-1.0
15156,7.400390625,5.0,1.0
15342,7.4912109375,4.0,1.0
15694,7.6630859375,5.0,1.0
15949,7.78759765625,4.0,1.0
16139,7.88037109375,5.0,1.0
17131,8.36474609375,1.0,-1.0
18647,9.10498046875,57.0,-1.0
20307,9.91552734375,10.0,-1.0
20512,10.015625,11.0,-1.0
20885,10.19775390625,4.0,0.0
21249,10.37548828125,100.0,-1.0
21505,10.50048828125,5.0,0.0
21805,10.64697265625,4.0,0.0
21856,10.671875,5.0,0.0
23341,11.39697265625,1.0,-1.0
24856,12.13671875,57.0,-1.0
26516,12.947265625,20.0,-1.0
26721,13.04736328125,21.0,-1.0
27149,13.25634765625,4.0,0.0
27477,13.41650390625,100.0,-1.0
27582,13.4677734375,5.0,0.0
27761,13.55517578125,4.0,0.0
27837,13.59228515625,5.0,0.0
27893,13.61962890625,4.0,0.0
28079,13.71044921875,5.0,0.0
29451,14.38037109375,1.0,-1.0
30963,15.11865234375,57.0,-1.0
32623,15.92919921875,20.0,-1.0
32828,16.029296875,21.0,-1.0
33242,16.2314453125,4.0,1.0
33295,16.25732421875,5.0,1.0
33444,16.330078125,4.0,0.0
33718,16.4638671875,100.0,-1.0
33911,16.55810546875,5.0,0.0
34353,16.77392578125,4.0,0.0
34630,16.9091796875,5.0,0.0
34818,17.0009765625,4.0,0.0
34858,17.0205078125,5.0,0.0
35808,17.484375,1.0,-1.0
37316,18.220703125,57.0,-1.0
38976,19.03125,10.0,-1.0
39181,19.13134765625,11.0,-1.0
39476,19.275390625,4.0,0.0
39532,19.302734375,5.0,0.0
39734,19.4013671875,4.0,1.0
39771,19.41943359375,4.0,0.0
39886,19.4755859375,5.0,1.0
39926,19.4951171875,4.0,1.0
39978,19.5205078125,5.0,1.0
40014,19.5380859375,100.0,-1.0
40395,19.72412109375,5.0,0.0
42362,20.6845703125,1.0,-1.0
43873,21.42236328125,57.0,-1.0
45533,22.23291015625,10.0,-1.0
45738,22.3330078125,12.0,-1.0
46225,22.57080078125,4.0,0.0
46351,22.63232421875,5.0,0.0
46415,22.66357421875,4.0,1.0
46564,22.736328125,4.0,0.0
46660,22.783203125,200.0,-1.0
46695,22.80029296875,5.0,0.0
46872,22.88671875,5.0,1.0
